rep,k,n_lambda,mu,sigma,min_size,filename,maxima,maxvals,loc,scale,shape,loc_se,scale_se,shape_se
9,30,50,20,6.8,10,rep9_k30_lambda50_mu20,,,33.54262096613624,3.446152321307068,-0.002927865805873329,0.7593232555196707,0.5800831802946016,0.20070847935002678
9,30,2000,20,6.8,10,rep9_k30_lambda2000_mu20,,,42.118842152742225,1.453157042339245,-0.06607826620423694,0.307251712415411,0.22554855410668742,0.16470653640498015
9,100,30,20,6.8,10,rep9_k100_lambda30_mu20,,,32.48083073738397,2.8149428425577097,-0.10710338036259072,0.31762201121395783,0.22629060971798026,0.07579518460120123
9,100,200,20,6.8,10,rep9_k100_lambda200_mu20,,,37.52352242138304,2.646698794875527,-0.1103994141291395,0.2979890724084101,0.2133700610172346,0.07268132652583453
9,100,10000,20,6.8,10,rep9_k100_lambda10000_mu20,,,45.396028095703365,1.6533262290211652,0.039376449898850537,0.18814171145928665,0.13938406683244964,0.07949811612571371
10,3,50,20,6.8,10,rep10_k3_lambda50_mu20,,,NA,NA,NA,NA,NA,NA
10,3,2000,20,6.8,10,rep10_k3_lambda2000_mu20,,,NA,NA,NA,NA,NA,NA
10,5,30,20,6.8,10,rep10_k5_lambda30_mu20,,,30.317036872337514,2.24788118376695,0.9274608507082691,2.0340756392580555,2.106462326132645,1.5829022361344927
10,5,200,20,6.8,10,rep10_k5_lambda200_mu20,,,36.94667243221519,1.7057962438007128,-1.132774776851329,2.0000027706105646e-6,2.000002784504369e-6,2.0000027175026496e-6
10,5,10000,20,6.8,10,rep10_k5_lambda10000_mu20,,,45.88078203114634,0.5737138891309425,0.07296059548358529,0.3164486910452933,0.2478377887041258,0.5323636491653789
10,10,50,20,6.8,10,rep10_k10_lambda50_mu20,,,34.652741921970446,2.080174465414844,-0.42271071213304545,0.7324072771020946,0.5417696153476791,0.24651670463997896
10,10,2000,20,6.8,10,rep10_k10_lambda2000_mu20,,,42.852191992882176,2.0728214309575765,-0.36342670703831076,0.7556619839490113,0.5824588178853513,0.30185330385461373
10,20,30,20,6.8,10,rep10_k20_lambda30_mu20,,,32.15396430547544,2.9157265718227365,-0.40543888101795755,0.7083283836105764,0.5038222886489403,0.12827501131547048
10,20,200,20,6.8,10,rep10_k20_lambda200_mu20,,,37.00192211997507,2.236226252748664,-0.08477805812722754,0.6108445523541244,0.4698843991374416,0.2562036328497283
10,20,10000,20,6.8,10,rep10_k20_lambda10000_mu20,,,45.42466791513066,1.7162433862782576,-0.045440591138442815,0.42950406100948013,0.3055702673486594,0.1584631552182893
10,30,50,20,6.8,10,rep10_k30_lambda50_mu20,,,34.51418580091781,3.311823321344029,-0.33065832915078625,0.6540998817803625,0.44582976139959996,0.09183267005884868
10,30,2000,20,6.8,10,rep10_k30_lambda2000_mu20,,,42.42989640583449,1.5850581538918904,-0.10492744535656967,0.32454220879215623,0.2294242566010687,0.13217386869297512
10,100,30,20,6.8,10,rep10_k100_lambda30_mu20,,,32.92174743107425,2.8863090917180463,-0.1704313147141763,0.3223518452363776,0.226413441495461,0.07031038880158098
10,100,200,20,6.8,10,rep10_k100_lambda200_mu20,,,37.79002164489122,2.6284040739475545,-0.20304547343960894,0.2880297259508633,0.19707062912040166,0.05708585806349154
10,100,10000,20,6.8,10,rep10_k100_lambda10000_mu20,,,45.19848096382117,1.6303564434219122,0.09517699695589812,0.18931698680716602,0.14510418191140906,0.09140385058038615
1,3,50,50,17,10,rep1_k3_lambda50_mu50,,,NA,NA,NA,NA,NA,NA
1,3,2000,50,17,10,rep1_k3_lambda2000_mu50,,,NA,NA,NA,NA,NA,NA
1,5,30,50,17,10,rep1_k5_lambda30_mu50,,,NA,NA,NA,NA,NA,NA
1,5,200,50,17,10,rep1_k5_lambda200_mu50,,,94.17299446295172,3.827430706714807,0.35788472896827334,2.0660063516028213,1.803870003905693,0.5211798876254713
1,5,10000,50,17,10,rep1_k5_lambda10000_mu50,,,112.66242927604904,4.810416026221314,-0.12851747130319177,2.4833972082986144,1.7968920880731556,0.3991741223770777
1,10,50,50,17,10,rep1_k10_lambda50_mu50,,,85.89429202158051,5.4649112377870805,-0.3353027785064512,1.9489503245656823,1.429213598041889,0.2593912209709244
1,10,2000,50,17,10,rep1_k10_lambda2000_mu50,,,112.20047018686347,5.806602396085274,-0.4021594771099119,2.1240493967825347,1.6780393102365083,0.31608430395648435
1,20,30,50,17,10,rep1_k20_lambda30_mu50,,,84.62603896409294,6.299822262982941,-0.638238515830382,1.5503898182939277,1.3491392391801014,0.19487696709716845
1,20,200,50,17,10,rep1_k20_lambda200_mu50,,,95.069655075248,5.890875859857675,-0.13160847310207757,1.5060896813455704,1.0855772772531738,0.18904461894961042
1,20,10000,50,17,10,rep1_k20_lambda10000_mu50,,,113.37337088748296,3.8545305606964497,-0.32131660587151495,0.9527656116090535,0.6718699397543851,0.15220673633872947
1,30,50,50,17,10,rep1_k30_lambda50_mu50,,,85.68610687060067,6.686798103427156,-0.18288190358013476,1.3492616321001492,0.9418631938656459,0.11244771451627263
1,30,2000,50,17,10,rep1_k30_lambda2000_mu50,,,107.98395699763536,5.354473649563045,-0.5198276848458405,1.1113797534230545,0.936740575679612,0.18020652623062172
1,100,30,50,17,10,rep1_k100_lambda30_mu50,,,80.71822432625247,7.8825537205940215,-0.18207333534288075,0.8885274523838675,0.6321882926788703,0.07659980746104952
1,100,200,50,17,10,rep1_k100_lambda200_mu50,,,93.62999739159065,5.128387177596616,-0.05926555733833618,0.5616584102870861,0.38715209311334964,0.05685052146040783
1,100,10000,50,17,10,rep1_k100_lambda10000_mu50,,,112.3906272985644,4.382037563160081,-0.03581937859987774,0.5145137259181883,0.3847239534965641,0.09688824254097032
2,3,50,50,17,10,rep2_k3_lambda50_mu50,,,89.64040241093531,12.06252148408324,-0.9996060801236172,8.332646628141678,8.351898278748605,2.0000101170772063e-6
2,3,2000,50,17,10,rep2_k3_lambda2000_mu50,,,NA,NA,NA,NA,NA,NA
2,5,30,50,17,10,rep2_k5_lambda30_mu50,,,NA,NA,NA,NA,NA,NA
2,5,200,50,17,10,rep2_k5_lambda200_mu50,,,NA,NA,NA,NA,NA,NA
2,5,10000,50,17,10,rep2_k5_lambda10000_mu50,,,112.34767060609306,4.098100565103117,0.11139453918436196,2.1508561247552866,1.6598473224220192,0.4363361398275203
2,10,50,50,17,10,rep2_k10_lambda50_mu50,,,NA,NA,NA,NA,NA,NA
2,10,2000,50,17,10,rep2_k10_lambda2000_mu50,,,106.55120727081858,5.125654683205897,-0.33592360293939283,1.869994010060034,1.429541467850239,0.2987145941983668
2,20,30,50,17,10,rep2_k20_lambda30_mu50,,,82.32698488367566,8.085654831808007,-0.18980095798484886,1.9853027969255574,1.3605454969742157,0.1279823335106154
2,20,200,50,17,10,rep2_k20_lambda200_mu50,,,91.25300344542558,6.990001626591429,0.038409727285212365,1.7586263930587303,1.2871949499934647,0.16350732828196238
