filename,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,rep,k,n_lambda,mu,sigma,min_size
rep4_k3_lambda2000_mu100,sigma,29.364717175,29.23435,3.77993353769545,3.78826539,23.368515,35.61096,1.00051604408166,1418.93342365282,1219.04987817726,4,3,2000,100,34,10
rep4_k3_lambda2000_mu100,lambda,517.0088055,512.826,69.6185090445139,69.5176314000001,408.45235,636.67165,1.00068396898817,2428.40074917791,2119.50256108846,4,3,2000,100,34,10
rep4_k3_lambda2000_mu20,lp__,257.39952725,257.758,1.46942503729945,1.18089090000001,254.5167,259.005,1.00293080584654,800.992710913557,796.197202480474,4,3,2000,20,6.8,10
rep4_k3_lambda2000_mu20,mu,17.46285879425,18.0941,7.42245628557159,7.96022766,3.843347,28.9607,1.02563155204369,203.315504838926,53.4560527653009,4,3,2000,20,6.8,10
rep4_k3_lambda2000_mu20,sigma,8.571079825,8.38611,2.58869625082782,2.748725574,4.57374,13.19795,1.02581326932766,194.805955336007,52.2914614959801,4,3,2000,20,6.8,10
rep4_k3_lambda2000_mu20,lambda,501.06305675,499.366,72.0250030138827,71.6696253,389.322,623.83955,1.00495242340309,992.063396155693,1174.95979736678,4,3,2000,20,6.8,10
rep4_k3_lambda2000_mu50,lp__,253.20674825,253.5445,1.33232867202298,1.05190469999999,250.71,254.61405,1.00129611803966,1246.63259425701,1255.49324284579,4,3,2000,50,17,10
rep4_k3_lambda2000_mu50,mu,52.876946595,53.4524,9.7699745959154,9.90999492,35.8533,67.51911,1.00385893145091,962.523077097566,925.261689716892,4,3,2000,50,17,10
rep4_k3_lambda2000_mu50,sigma,18.4238635,18.24435,3.25452863003902,3.34481973000001,13.372335,23.978715,1.00364144916446,930.381548929419,887.456067340323,4,3,2000,50,17,10
rep4_k3_lambda2000_mu50,lambda,500.51674025,497.0485,72.299226074838,74.2026474,386.77095,621.03015,1.00257307694778,1869.36931681785,1547.23948586653,4,3,2000,50,17,10
rep4_k3_lambda30_mu100,lp__,250.34164525,250.674,1.29945961431079,1.09119360000001,247.711,251.74705,1.0017799995922,1141.82559518221,1578.51011503636,4,3,30,100,34,10
rep4_k3_lambda30_mu100,mu,92.6899151,92.58265,13.2509383101776,13.09632471,70.52352,114.2056,1.0013026045239,923.984281036201,609.556668835184,4,3,30,100,34,10
rep4_k3_lambda30_mu100,sigma,20.36425464,20.3951,4.08565624496748,4.07596392,13.61146,27.094345,1.0007674323777,960.723024286123,588.892094986665,4,3,30,100,34,10
rep4_k3_lambda30_mu100,lambda,508.418599,504.151,71.8506500083566,69.6051048,397.286,632.80925,1.0037851946283,1714.26529489017,1565.83233578143,4,3,30,100,34,10
rep4_k3_lambda30_mu20,lp__,253.37686925,253.696,1.33420374608358,1.0052028,250.65,254.77705,1.0037715440328,964.208338817757,1165.90602852437,4,3,30,20,6.8,10
rep4_k3_lambda30_mu20,mu,5.0618729030225,4.59014,3.25761922054877,3.606231762,0.51609795,11.042855,1.01093558127328,374.214269566996,211.016430797029,4,3,30,20,6.8,10
rep4_k3_lambda30_mu20,sigma,9.2416644075,9.28475,1.29996306255816,1.365956445,7.0290265,11.28331,1.01116268418315,354.332154108782,189.184132973349,4,3,30,20,6.8,10
rep4_k3_lambda30_mu20,lambda,490.46222125,485.9705,67.6809794164542,66.8556231,387.6716,608.1152,1.0044570363967,1248.23447030612,1565.78341640208,4,3,30,20,6.8,10
rep4_k3_lambda30_mu50,lp__,252.43030625,252.8195,1.43902816128566,1.1245521,249.55145,253.9451,1.00133593900377,1091.54793990681,1234.58601861679,4,3,30,50,17,10
rep4_k3_lambda30_mu50,mu,33.02527135,33.6925,9.15327683015052,9.29545722,16.686215,47.20059,1.00400918427932,874.308999924896,743.046526663743,4,3,30,50,17,10
rep4_k3_lambda30_mu50,sigma,18.0002333375,17.8987,3.1284358277391,3.22925106,13.123925,23.244435,1.00361032119422,835.921316990022,682.800090786161,4,3,30,50,17,10
rep4_k3_lambda30_mu50,lambda,497.1581385,493.126,71.0604880545262,71.3849661,391.83015,618.5402,1.00136738150673,1569.49378654099,1388.44804094189,4,3,30,50,17,10
rep4_k3_lambda50_mu100,lp__,244.87502375,245.1945,1.22346730534483,0.998531099999985,242.5377,246.20205,1.00191389944192,1494.59932843677,1995.25418908009,4,3,50,100,34,10
rep4_k3_lambda50_mu100,mu,99.37653235,100.061,12.3434164603394,12.105429,77.59357,118.4847,1.00316667118506,1345.52412114286,1424.11101366985,4,3,50,100,34,10
rep4_k3_lambda50_mu100,sigma,24.75936265,24.6561,3.59557485428939,3.65816724,19.01923,30.863035,1.00333139128445,1449.21187550858,1765.26222108388,4,3,50,100,34,10
rep4_k3_lambda50_mu100,lambda,515.77278875,512.1025,70.5086070299219,70.905345,407.00315,636.56115,0.999761572080349,2184.37980612952,2096.68294289288,4,3,50,100,34,10
rep4_k3_lambda50_mu20,lp__,254.41722,254.737,1.28492130918306,1.07340240000003,251.895,255.831,1.00308355258644,1128.62608459931,1538.20302697912,4,3,50,20,6.8,10
rep4_k3_lambda50_mu20,mu,7.19117401165,7.03459,3.93058260422739,4.686187254,1.1319285,13.7302,1.00571509673643,491.271714303653,662.802200243007,4,3,50,20,6.8,10
rep4_k3_lambda50_mu20,sigma,8.978996415,8.96324,1.48502335847161,1.690972017,6.68606,11.392385,1.00490900284539,457.039037224533,496.724949957774,4,3,50,20,6.8,10
rep4_k3_lambda50_mu20,lambda,490.2432585,488.102,70.717292613443,69.0172539,379.58315,611.5024,1.00378090623529,868.134175127325,1255.87674437773,4,3,50,20,6.8,10
rep4_k3_lambda50_mu50,lp__,258.003524,258.354,1.24122577812502,0.982222499999992,255.62265,259.32405,1.00587255828519,1082.26311493552,1140.39732013877,4,3,50,50,17,10
rep4_k3_lambda50_mu50,mu,51.3251174,52.05835,10.5526876363112,10.67872302,32.872085,68.07303,1.0163745486318,486.463214284602,270.330320552953,4,3,50,50,17,10
rep4_k3_lambda50_mu50,sigma,11.5605005475,11.3851,3.5341406356843,3.57165753,6.0188945,17.64738,1.01670324667505,445.824407756417,248.287422103487,4,3,50,50,17,10
rep4_k3_lambda50_mu50,lambda,502.5750955,496.92,71.5069481616628,65.9186199,392.2695,623.47795,1.00438446935658,1132.1600283612,1066.93127271185,4,3,50,50,17,10
rep4_k30_lambda10000_mu100,lp__,132.38786325,132.734,1.29685874566237,1.0326309,129.855,133.77605,1.00061641223237,1346.86393638896,1565.56781701402,4,30,10000,100,34,10
rep4_k30_lambda10000_mu100,mu,140.3693715,140.7235,8.88767574495856,8.7147228,124.99935,154.56345,1.00214689395481,1119.48612722122,1123.1091687431,4,30,10000,100,34,10
rep4_k30_lambda10000_mu100,sigma,29.78129965,29.6932,2.96995755657498,2.87720769,25.09588,34.946485,1.00124708891493,1152.7005145859,1153.29786707436,4,30,10000,100,34,10
rep4_k30_lambda10000_mu100,lambda,527.342789,526.2965,73.9726721403815,73.0892148,409.6502,652.24955,1.00366689503959,1630.69528431178,1369.81069696804,4,30,10000,100,34,10
rep4_k30_lambda10000_mu20,lp__,198.6693795,199.022,1.32463454512907,1.06895460000001,196.03,200.089,1.00208627504228,1175.44552881087,1402.58582105738,4,30,10000,20,6.8,10
rep4_k30_lambda10000_mu20,mu,26.742360575,27.0404,2.76778900473859,2.67208998,21.73435,30.663255,1.00366899620577,929.27510250337,797.330149731393,4,30,10000,20,6.8,10
rep4_k30_lambda10000_mu20,sigma,6.7147169575,6.608245,0.955537975035243,0.91713636,5.357783,8.463582,1.00448003116313,945.232821753139,813.518510650536,4,30,10000,20,6.8,10
rep4_k30_lambda10000_mu20,lambda,497.87735925,493.947,70.7688309748973,69.9757548,385.3776,620.1845,1.00285375586396,1817.8588317842,1410.03922944007,4,30,10000,20,6.8,10
rep4_k30_lambda10000_mu50,lp__,170.26523,170.606,1.26844098807751,1.0237353,167.6438,171.625,1.00269261836646,1241.74983302061,1767.52347314131,4,30,10000,50,17,10
